case_path	generator_sha256	packaged_sha256	packaging_transform	archive_member	archive_byte_match	pair_byte_match	origin	source_pin	source_locator	license_basis
RTL/deps/TwoLevelRRArbiter_10.sv	bb9b7aad0a2ca3b25cf5c24f890bd51794f5d41ffe1396b58237110d2e9f69cb	123f44ec3305a423e38e20698d229da2334fe3c75faf194d1b95df3b1b53ef5e	trim-extra-eof-newline	./TwoLevelRRArbiter_10.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:108:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/MSHRCtl.sv	dde6e0c5d9ada6f4e6ae81a20388ecbdd957e18cc39692fe24c16a9df95502d9	2aa0ca731c23e6dc2bfed5f288680eb538ea71d3499fc649bfa5309f5f06224e	trim-extra-eof-newline	./MSHRCtl.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MSHRCtl.scala:32:7	Mulan-PSL-2.0
RTL/deps/L2Slice.sv	c9cd234040cb03dd4c5d60356e902fec3094f09c2033116b28134d712f514d45	cf0515bf88c04c2c7f17b75a902ecb071d9aee10042e147df1e31b329204effb	trim-extra-eof-newline	./L2Slice.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/mbist/MbistPipeline.scala:164:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/Slice.sv	a37b3819a9ee61646569d5f22cd6ace20fbf2fc9e5bed3aeb8e1657b2bda4e02	99f7218fd3a61ee5db9b26e49a6119199e7772d8377ad1c0933c1128f07910bd	trim-extra-eof-newline	./Slice.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/Slice.scala:31:7	Mulan-PSL-2.0
RTL/deps/Queue1_PrefetchTrain.sv	470b764e0a46e9164f357cf06310c960e2c7e37fe7c1fb07ea4d9aa1707a218b	1b00f549f07a2774548d520ccca9257fa39480b6f7cf44879562287d79cb6a87	trim-extra-eof-newline	./Queue1_PrefetchTrain.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Queue.scala:60:7	Apache-2.0
RTL/deps/Pipeline_7.sv	304e258377879f325353a1cf2bfab777f8135188be9b3427e51df1129695c922	75a429684fa2ece17a89dacc505a508ad2c11eb773c04cae478ae8ce0a4d4eee	trim-extra-eof-newline	./Pipeline_7.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/Pipeline.scala:22:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/Queue1_PrefetchResp.sv	15a363b4c08d1c538262d101163721479f8fccd2d4d469cbffcea67b874e3e18	e857e5ab4d9ee694afe1916dfac2e2e0dbb7078512f1751666560380bb6f32d9	trim-extra-eof-newline	./Queue1_PrefetchResp.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Queue.scala:60:7	Apache-2.0
RTL/deps/Pipeline_8.sv	18f33bed9d428b7fdc24745c4ab8cd8ca35f71311ac9e35783c8300b7803c1fb	4d4eb495da675e6054d629be15a025eeb74a0a00fe40808f5a0568f1f2e7955e	trim-extra-eof-newline	./Pipeline_8.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/Pipeline.scala:22:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/FastArbiter_24.sv	0a99625ea4cae0ecdad35929dd6345fb5a8ec44d23a5eefe9b2aaff238cb3144	88d8908a92739b565c03a5e25a5442abf9b624d3918f40bec4618627a402724e	trim-extra-eof-newline	./FastArbiter_24.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:30:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/TwoLevelRRArbiter_11.sv	bb2d66a88a268a73b535c9cf20dada7f35731a5da28bbe746ecb0dafd6d39259	9c84e4a12b54ce2096a71f26efdf1e7ab96fd2638973414b817350217eaea024	trim-extra-eof-newline	./TwoLevelRRArbiter_11.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/FastArbiter.scala:108:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
